product_name,brands,nutriscore_grade
NOUILLES Pâtes de qualité supérieure,Casino,a
Oignons en cubes,Thiriet,a
Muesli super fruits,"U Bio,U",a
Ravioli daube,"",a
RIZ long grain étuvé BIO 500g,Saint eloi,a
Raviolini del pli fondue et truffe,,a
Filet de poulet,La Nouvelle Agriculture,a
Sin lactosa protein con fresa,Kaiku,a
Champignons,,a
Moules de corde,,a
Escalope de dinde a la milanaise,Le Gaulois,a
Pan ecológico crujiente de quinoa sin gluten,Le Pain des Fleurs,a
Ail doux au curry,Pépé Olivo,a
Rilles de poulet,Maison Occitane,a
Champignons de Paris,,a
Lentilles vertes,Le Cygne,a
Eau minérale naturelle gazeuse,NORDA,a
Pain de campagne,,a
Cuisse poulet fermier,Simplement Bon Et Bio,a
Lait de paturage,"",a
2 Steaks de Dinde Bio,Le Picoreur,a
Fideos De Trigo Número,Castagno,a
Vanillekipferl,Mymuesli,a
Gros œufs bio français élevé en plein air,"",a
Filets de blanc de poulet,,a
Haricots verts extra-fins,Cassegrain,a
Pavé de saumon cru par 2,"",a
Bananes,,a
2 Pavés le Charolais,L'Étal du Boucher,a
Ail poudre,Espig,a
poulet blanc prêt à cuire sans abat Na,la nouvelle agriculture,a
Velouté de courgettes à la menthe,,a
Mogette de Vendée,"",a
farfalle,panzani,a
Pêches demi-fruits au jus,Del Monte,a
Haricot blanc,"",a
Pois cassés,Vivien Paille,a
Pomolà,La Torrente,a
Compote poires Williams,Charles & Alice,a
'e Rigatoni,"La fabbrica della pasta di Gragnano,",a
La Fabbrica Della Pasta Pasta 'fuselloni' (500g Packung),"La fabbrica della pasta di Gragnano,",a
Granola original,Great Value,a
Petit pois,,a
Haricots noirs,Jaja',a
Pois cassés,Les Saveurs Du Clavon,a
Demi-fruits au sirop léger pêches,,a
Lait de montagne,Justement bon,a
Farine de blé T55,Biocoop,a
Soya drink unsweetened,Tesco,a
Spaghetti di gragnano,"",a
Baking potatoes,By sainsbury's,a
Alfabeto n 173,"De Cecco, De Cecco",a
Haricots Blancs - Lingots Au Naturel,,a
Passata rustica,"",a
Torsades Tricolores,Pâtes Grand'Mère,a
La Fabbrica Della Pasta - Linguine a Piett E Palumm,"La fabbrica della pasta di Gragnano,",a
Poulet entier roti déjà cuit U,,a
Patate douce,La Ferme du Joncheray,a
Filet de Poulet,La Nouvelle Agriculture,a
Filets de poulet,La nouvelle agriculture,a
Haricots verts extra fins,Auchan,a
Selezione al bronzo Fusilli bucati,Panzani,a
6 filets de poulet jaune,,a
Cavatoni à la semoule de blé dur,Italiamo,a
Foie de boeuf,,a
Asperges blanches nature,Cassegrain,a
Escargots de Bourgogne,Française de Gastronomie,a
Filet de poulet,La Nouvelle Agriculture,a
Oeuf Gros Maxi Matinesx12+3grt,Matines,a
Bucatini,Bio Naturae,a
Coulis de framboises,Danival,a
Steacks Hachés bio facon bouchère,Leader Price,a
Lasagnes aux legumes,Compliments,a
Baguette au cereales bio,U Bio,a
Penne rigate  n 28,Rummo,a
Farine de sarrasin,"",a
Humm! Hummus Cocktail Caramelized Onions,"Humm!,Fontaine Santé",a
Double concentre de tomate,Transgourmet,a
Riz spécial rizotto,Vivien Paille,a
Poulet jaune,La Nouvelle Agriculture,a
Classic 100% robusta,"",a
Noodle konjac & avoine,LIV,a
Foie de veau,,a
Chili con carne,Tendre Plus,a
Châtaignes cuites et pelées,Maison Roucadil,a
Fromage blanc frais en faisselle - le torcéen,Fromagerie Maurice Girard,a
Citron vert,,a
Pâtes De Fruits Orange (8 x 30 G),,a
Skyr,Isey,a
Butternut,Sans marque,a
Gomiti rigati,Pasta Reggia,a
Les milanaises,Le Gaulois,a
Kiwi hayward bio,Zespri,a
TAJINE AU POULET,L'assiette d'Antoine,a
Petits pois extra-fins et jeunes carottes à l'étuvée,Auchan,a
Blé dur ancien,La Vie Claire,a
Billettes de riz,Moulin des Moines,a
Yaourt Nature,Kerbastard,a
Girolles des bois cueillies en forêt,"Auchan, Mmm!, Auchan Gourmet, Auchan Premium, Auchan Collection",a
Les milanaise,Le Gaulois,a
Soupe de poissons,,a
Blanc d'œuf liquide pasteurisé biologique,"Ovipac Bio,Ovoteam",a
Compote Pomme Ananas,Materne,a
La Rambla Whole Artichoke Hearts,,a
Choux fleurs,Dujardin,a
Filet de poulet,La Nouvelle Agriculture,a
"Palets soja courgettes, curry, pavot",Céréal bio,a
Poulet fermier jaune label rouge,L'etal Du Volailler,a
Farine de Sarrasin,Naturéo,a
Pain de la Toussaint,"",a
Bakery Co. 5 The Original Bagels Fresher for Longer,New York Bakery Co,a
12 œufs AviBresse Label Rouge,"AviBresse,Les Producteurs de l'Ain",a
Noix coco,,a
Rodekool,Carrefour,a
Bifteck,Charal,a
6 filets poulet,Auchan,a
Girolles,,a
courge butternut,,a
Gnochetti bio aux œufs,Pâtes d'Armor,a
Spaghetti,,a
"",Tersol,a
Purée de pommes artisanale,Carrefour,a
Co-op Houmous,"Coop, Lucky Saint",a
Cornichons aigre doux malossol,"",a
TAJINE DE POULET,"",a
Panzani - spf - sauce bolognaise pur boeuf 650g,Panzani,a
Foie de bœuf,,a
Bananes,Bio Village,a
Valentine,"",a
Filet de merlan,Leclerc,a
Bananes,Bio Village,a
Filet mignon de porc,L'Étal du Boucher,a
Poulet fermier jaune,L'etal Du Volailler,a
Ananas extra sweet,,a
Ravioli aux épinards,,a
MUTTI - Concentrato di pomodoro,Mutti,a
Haricots geants,Baton Rouge,a
Compotée pommes à la vanille naturelle,Bonne Maman,a
Yogurt colato,Fage,a
Boeuf Bourguignon,Tendre & Plus,a
velouté champignons,Ferme d'Anchin,a
Carottes râpées à la ciboulette,Saladinettes,a
Blueberry,Tesco,a
Champignons de Paris brun,"Carrefour Bio,Carrefour",a
Compote Pomme Poire,Materne,a
Champignons de Paris,"",a
Ail blanc,"",a
Dinde noire Grandes Escalopes,La Nouvelle Agriculture,a
Puree de tomates,Panzani,a
Crunchy Toasts Seigle complet & sésame,Carrefour,a
Aubergines à la provençale,Parole Gourmande,a
"Coeur de filet de Merlu sauce Chilienne ""pebré"" et petites pommes de terre","KitchenDiet, Kitchen-Diet",a
Passata di pomodoro,Rega,a
Carottes en Rondelles Bio Surgelées,Paysan Breton,a
Cuisine du Japon: Bœuf Teriyaki et nouilles aux légumes cuisinés,Auchan,a
Filets de poulet,La Nouvelle Agriculture,a
Pavés de julienne,Sacrebleu,a
Steaks hachés 5%,Charal,a
Pavé de saumon de Norvège,Escal,a
Bœuf bourguignon et ses pâtes,Auchan,a
Aiguillettes de canard marinée aux herbes,"",a
Salade de pois chiche cumin (Orientale),Crous Resto',a
Pommes,"",a
Tria Cheveux d'ange 500g,Tria,a
Asperges vertes moyennes,"Notre Jardin,Marque Repère",a
Farine de blé noir toasté,"",a
Escalope extra fine de dinde,Monoprix,a
Green pea balls,,a
"Riz complet, Orge & Quinoa",Graines de Nature Seeds of change,a
Fromage de tête,,a
Ravioli aux légumes,,a
Filet de poulet,Maître Coq,a
ASDA CRISPBREADS,"Asda, Fairy",a
Volkoren vruchten muesli,Golden Bridge,a
"pea & bean sticks, caramelized onion and balsamic vinegar flavour","Coop,off the eaten path",a
Coquillages pâtes de qualité supérieure,Crea Nature,a
Oignons jaunes,CondiChef Nature,a
Filets de poulet,La Nouvelle Agriculture,a
Les milanaises,Le Gaulois,a
Riz de camargue long grain,"Les Délices de Belle France,Belle France",a
Couscous Fin,"",a
Osso-Bucco de veau,Tendre & Plus,a
Spiruline Sainte Marie La Réunion,,a
Tagliolini garofalo 250g,Garofalo,a
Riz basmati complet,Bio Par Nature,a
Mix farine à pain complet Riz et millet,Moulin des moines,a
Purée de pommes artisanale,Carrefour,a
Bananes bio village,Bio Village,a
La tête de Morille,BORDE,a
Wholegrain wheats raisin,Kellogg,a
Fromage frais,Campagne de France,a
Saumon ecrasé de pommes de terre brocolis et citron,Par Ici Cuisine,a
Aiguillettes de poulet,La Nouvelle Agriculture,a
Oignons jaunes Petit prix,"",a
Crozets nature,Comptoir des Ducs,a
Escalope poulet extra fines,,a
Les milanaises dinde,Le Gaulois,a
Seitan Pieces,Biona Organic,a
Rigatoni,Selection,a
Litchis,,a
Spécialités du Moulin Tricolores,Moulin des moines,a
Escalope de dinde marine a la milanaise,Le Gaulois,a
Petits Pois extra fins et Carottes,Les Saveurs du Clavon,a
Pois cassés bio,NaturéO,a
Steak Haché Bio Façon Bouchère,Leader Price,a
Melange Quinoa Boulgour,,a
Compote pomme & banane,,a
"Panés au millet patate douce, aubergine paprika","Super U, U Bon & Végétarien, U",a
Melon morceaux,"",a
Sorbet fraise,Maison Pâris,a
Red lentils,Marks & Spencer,a
Eau minérale,,a
Mix Fraise Framboise Kriss-Laure reconstitué (37g dans 200 ml d'eau),KRISS-LAURE,a
Gourde pomme sans sucre ajouté,Franprix,a
PINK LADY® POMMES BARQ 6 PIECES,Pink lady,a
Tartinable de poulet rôti curry,conserverie des saveurs,a
Pomme golden,"",a
Aglio pezzetti,Cannamela,a
Echalote lyophilisée,Sainte Lucie,a
Cardons Lyonnais,Grandjean,a
Aiguillettes de Poulet,La Nouvelle Agriculture,a
Coulis de framboise,,a
Trio de poivrons,,a
Bifteck,Charal,a
6 oeufs frais de martinique,,a
Farine de sarrasin,Primeal,a
Champignons,Bonduelle,a
"Quinoa et graines aux butternut, courgettes et chou kale surgelé","U, U Bon & Végétarien",a
les milanaises,Le Gaulois,a
Les 4 Pis - Fromage Blanc,LAITERIE ST MALO,a
"Boulettes au pois chiche, sauce piquante et boulgour au cumin",Carrefour Veggie,a
Oranges,"Bio Village,Marque Repère",a
Girolles séchées,,a
Qualité Filtre,Casino,a
Tagliatelles 250g,Garofalo,a
La Frite bio,MC CAIN,a
2 bavettes d'Aloyau,Charal,a
Pennes Complètes 500g Bio,Naturalia,a
Noix de Saint-Jaques,"Ronde des Mers, Marque Repère",a
Maccheroni senatore cappelli,Dalla Costa,a
Eau minérale naturelle,,a
Lait demi-écrémé stérilisé UHT,C'est qui le Patron?!,a
Aubergines cuisinees,cassegrain,a
Amandes decortiquees,,a
Lait bio demi-écrémé,Lactel,a
Vitamilk Energy (300 ML),,a
Filet mignon,L'Étal du Boucher,a
Filets de cabillaud,,a
Clementines,"",a
Penne rigate,Combino,a
Dinde nourrie aux graines de lin,Maître Coq,a
Faisselle,,a
SKYR Myrtille,Paturages,a
Filet de poulet,La Nouvelle Agriculture,a
Carottes rapées,,a
6 Filets de poulet blanc,"",a
Roti filet de porc,L'Étal du Boucher,a
Pomme Coing,Materne,a
Spaghetti konjac et avoine - ENVI-BIO - 270 g,Envi-bio,a
Delizie campagnole ceci lessati,Divella,a
Haricots beurre extra fins,,a
Pâtes aux œufs frais,Maxim,a
Pâtes intégrales,"",a
Crunchy Toasts Seigle complet,Carrefour,a
Organic Pasture Raised Large Brown Eggs,Trader Joe's,a
Junge Grüne Jackfruit In Sole - Green Jackfruit - 560 GR.,Mae Ploy,a
Farine complete de grand epeautre,Celnat,a
Oeufs de Normandie plein air,"",a
MATERNE Compotes Coupelles Multivariétés Fruits Rouges 16x100g,"MATERNE,Classique",a
Cuisse de dinde,L'Etal du Volailler,a
KNR VEL LEG SOL 2X1L,Knorr,a
Noix sèches de Grenoble BIO,AGIDRA,a
Fromage blanc frais 0%,"",a
Compote pomme cerises sans sucres  ajouté,Materne,a
L'œuf de nos villages,Oeuf De Nos Villages - ODNV,a
Polpa Tomater,Coppola,a
Tomates entières pelées,Prosain,a
Velouté tomate basilic,,a
Mélange apéritif sucré,"U, U Bio",a
Sardine dans l'huile,Aurora,a
Farine de froment biologique,Moulin Méjane,a
Champignons de Paris entiers 1er choix,Auchan,a
Déli'light Fromage blanc nature,Délisse,a
tranches saumon rose du pacifique,"Findus,Nestlé",a
CROUSTILLANTS de blé,"Carrefour,Carrefour Veggie",a
Poelee méditerranéenne,,a
Salade celtique,"Tout feu tout frais,Brédial",a
lentilles cuisinees bio,Franprix,a
Rôti de porc,L'Étal du Boucher,a
Dinde Noire Sot l'y Laisse,La Nouvelle Agriculture,a
Oranges,Simplement bon et bio,a
Purée de tomates Passata,"Cirio, Conserve Italia",a
rôti filet de porc,l'etal du boucher,a
Épinette Filière Française,"Alpina, Alpina Savoie",a
Morilles déshydratées,"Casino, Délices",a
Tégument de psyllium blond,Valebio,a
Kiwis,Bio Village,a
Filet mignon,L'Étal du Boucher,a
Ratatouille à la bretonne,La marmite bretonne,a
Evian,Evian,a
10 oeufs frais,l'oeuf du vieux pressoir,a
Envie bil façon riz,Envi-bio,a
Crevettes ail et persil,Carrefour,a
Tofu aux oeufs,Pang Niu Food,a
Eggs,,a
Bananes,Bio Village,a
Tilapia Signature Cuts,,a
Oeufs fermier plein air,,a
Bananes,Bio Village,a
Poulet,Maître Coq,a
Authentique Grec,Ifantis,a
Filet de Poulet,La Nouvelle Agriculture,a
Endives,,a
Fromage blanc nature bio,leader Price,a
Escalope de dinde a la Milanaise,,a
black beans,Duru,a
Haricots Verts Extra-fins Cueillis Main,,a
Bruschetta piquillo & mangue,Carrefour,a
Le nature,Danone,a
Boulgour exquis,Tipiak,a
Gros oeufs frais,,a
Stelline 74,Divella,a
Litchis au sirop,Dia,a
Compote pommes poires,"",a
Biona: Organic Sprout Mix Rye Bread - 500G,Biona Organic,a
Multigrain toast sliced bread,,a
filet de cabillaud sous vide,,a
Family toast,"gecchele, Il fornaio del casale",a
Filets de saumon atlantique,Thiriet,a
Biftecks,Charal,a
Quinoa,"Simplement bon et bio,Aldi",a
Sungold Kiwifruit,Zespri,a
Betteraves Rouges,"",a
Appelmoes,,a
Coquilletes demi-complètes,Naturalia,a
Lentilles corail,,a
Velouté de légumes d'antan,,a
Fusilli à la farine de petits pois BIO - Spécialités alimentaires à base de farine de petits pois,"Casino Bio,Casino",a
Légumes pour couscous,MAINGOURD,a
Julienne de légumes,Franprix,a
Penne bio petit pois,Pastéa,a
Petits Pois Carotte Extra Fin Bonduelle,"Bonduelle,Bonduelle Food Service",a
Filets de thon,,a
Lait demi-écrémé des Hauts de France,Auchan,a
Harvest Grain Toast,Vogel's,a
Irish Spring Water,,a
Filets de poulet,La Nouvelle Agriculture,a
Printaniere de légume,Dujardin,a
fruits rouges,Del Monte,a
Pistaches décortiquées,Franprix,a
Filet mignon de Porc,,a
Escalopes dinde noire,La Nouvelle Agriculture,a
Kidi fruit,"Andros, Kidi fruit",a
Pois cassés de nos agriculteurs,Vivien Paille,a
Ananas morceaux croquants,Andros,a
Velouté de tomates,,a
Rôti de porc (Lidl),,a
Véritable saucisses aux lentilles,Larnaudie,a
Hazelnuts Unsalted,"Zweifel Nüsse,Zweifel",a
Onglet,Charal,a
Prozis brown rice pasta,Freee waitrose brown rice pasta,a
Lentilles corail France,,a
sugo melanzane,"Monoprix Gourmet,Monoprix",a
Sugo ai funghi,"Monoprix Gourmet,Monoprix",a
Sauté d'agneau et flageolets verts,Monoprix,a
Quinoa rouge,Franprix,a
Poulet mariné petits pois carottes,William Saurin,a
Purée de coings,Biolo Klock,a
Penne rigate,Delverde,a
Lingots blancs,Vivien Paille,a
Farine de blé,"",a
"Bio Teigwaren, Linguine",Alnatura,a
Mancini linguine,Pasta Mancini,a
petits pois doux,Picard,a
Aiguillettes poulet romarin,Maître Coq,a
Filet de poulet,,a
Bœuf Bourguignon,Tendre & Plus,a
"Salade de thon, riz, épeautre",Casino,a
Pain mais & graines de tournesol,"",a
Porridge Cup Vanille,Davert,a
Couscous,Martino,a
Maïs doux sans sel,,a
Impact diet whey chocolate mint,MyProtein,a
Cuisse de dinde,L'Etal du Volailler,a
Haricot borlotti,La Palma,a
Asperges vertes,,a
Butternut biologique,Picolino,a
petits pois doux et carottes en rondelles,"Bio Village, Marque Repère",a
COFFRET SALADE POMME DE TERRE THON TOMATES OLIVES 240G + STICK VINAIGRETTE 30G + COMPOTE POMME MANGUE ANANAS 90G,Fleury Michon,a
Marinated artichoke hearts,Cypressa,a
Salade feuille de chene,Les Crudettes,a
Ananas,,a
Farine de petit épeautre complète type 150,Moulin des Moines,a
Penne Rigate,Italians do it better,a
Falafels fèves menthe et coriandre,U,a
Filets de poulet,,a
Betteraves rouges Bio,"",a
Riz basmati blanc,Sélection des comptoirs,a
Filets de poulet,La Nouvelle Agriculture,a
Champignons de paris entiers 1er choix,Gustadéa,a
FARINE DE SARASIN BIO,"",a
Poulet fermier bio,"U Bio,U",a
Aspic œuf poché jambon x 2,pierre clot,a
Cuisse de dinde,L'Etal du Volailler,a
Macédoine de légumes,,a
Coquillette demi-complètes,Priméal,a
Veloute de butternut,Maison Marc,a
Aiguillettes de dinde nourrie aux graines de lin,Maître Coq,a
AIL NOIR,Le bio d’olivier,a
Eau minérale naturelle,Saguaro,a
Œuf de poule élevées en plein air,,a
8 palets de légumes,Freshona,a
les marmijotes,bonduelle,a
Pâte de datte d'Algérie,,a
Pomodoro di Pachino,Capo,a
Tournedos,Charal,a
Asperges Vertes,,a
Purée pommes fraises,La Vie Claire,a
Filet de poulet,La Nouvelle Agriculture,a
Cuisse de poulet,,a
Mes Petits flocons d'avoine bio,NATURÉ O,a
Galettes soufflées de petit épeautre,"",a
Pomme figue,Babybio,a
Aiguillettes de poulet blanc,,a
Tomate cerise,,a
Poulet,,a
Panzani - spf - bolognaise 425g hd,Panzani,a
Boisson Soja,Sojade,a
"Semoule et duo de quinoa, tartinable butternut grillé et baies de Goji","U, U Bon & Végétarien",a
Riz Long Incollable De Camargue Grand Badon,,a
Feuille de chêne,Les Crudettes,a
Falafel,Bohlsener Mühle,a
Escalope à la milanaise,,a
Biscottes Sans sucres ajoutés Blé complet,Pasquier,a
Compote pommes abricots,Lucien Georgelin,a
Sandwich club trio - thon oeufs crudités,Monique ranou,a
Tofu spicy,Nutrisoy,a
Tournedos,Charal,a
Skyr Fraise,siggi's,a
Haricots verts,,a
Eau de source naturelle,Nestlé,a
Dessert de fruits pomme passion mangue,Franprix,a
Spaghetti à la bolognaise de boeuf aux oignons,"Côté Table,Marque Repère",a
Carottes extra fines,"",a
Orange Sanguines,"",a
Amandes émondées,La Vie Claire,a
Cup Mangue,"",a
Extra Virgin Olive Oil Houmous,Co Op,a
Raisin noir,,a
Granola Bites,new yorkers,a
Barres Céréales WKK Kellogg's Graines de Tournesol et Chia - 4x32g,"Kellogg, Kellogg's",a
Shitake,,a
Aiguillette de poulet,,a
Torsade provençale,Pâtes Fabre,a
Penne Ziti Rigate,Garofalo,a
Cuisse de dinde,L'Etal du Volailler,a
Penne,,a
Pilons de poulet,La Nouvelle Agriculture,a
"Salade Verte - Pâtes, Thon & Œuf",Delhaize,a
Coeurs d'artichauts,Diamir,a
Gelatine saveur ananas,Royal,a
Pavés de saumon sauvage,"",a
Spaghettis,"Bio Par Nature,Club Bio",a
Riz Rond,"Auchan, Auchan Bio",a
Girolles,Maison Wurfel,a
Riz Thai,"",a
Granola Banana Bread,NÜMorning,a
Pousse De Bambou 540G,Cock Brand,a
Lentilles vertes bio,Sabarot,a
Danio fraise,"Danone,Danio",a
Flétan du Groenland,Carrefour,a
Carotte râpée,,a
Rôti de porc,L'étal du boucher,a
Ananas extra sweet,,a
Filet de poulet bio,,a
Wok Asiatique,,a
Haricots rouges kidney,La Bio Idea,a
"Poissons Nordiques Saumon, Cabillaud, Colin",Casino,a
2 bavettes d'aloyau,Charal,a
Ananas tranche,,a
Eau minérale naturelle,Evian,a
Lait de montagne,Le clos des vaches,a
Oeufs frais,ŒUF DE NOS VILLAGES,a
rosbif au poivre,,a
TUBETTI REGINA N_29,Rummo,a
Moutarde à l'ancienne au piment d'Espellette,,a
6 filets de Poulet jaune,U,a
Pain de mie Maïs Lin doré & Chia,Harrys,a
Portion de filet de cabillaud,La table des pêcheurs,a
Muesli bio chocolat noir,Jordans,a
Filet de poulet,La Nouvelle Agriculture,a
Farine blanche,"",a
Aiguillettes de poulet,La Nouvelle Agriculture,a
Tournedos,Charal,a
Soya Chunks 250G Heera,Heera,a
"BASILIC PETIT PET ""COOK"" 30g*",Cook,a
"VeggissiMmm! Mix Céréales - Boulgour, Sarrasin, Quinoa et légumes gourmands",Bonduelle,a
2 bavettes d'aloyau origine France - viande bovine à griller,Charal,a
Taboulé,Bien vu,a
"Pommes de terre, four purée potage","",a
Bavettes d'aloyau,Charal,a
Douceur Châtaigne - Tartine craquante spécial matin,Le Pain des Fleurs,a
2 escalopes de dinde a la milanaise,Volandry,a
Fleurette de choux-fleurs,"",a
Printanière de légumes,Franprix,a
Petits pois prêts à cuisiner,,a
La dinde,Popote,a
Ferme sans lactose,Yoplait,a
Pavé de saumon fusilli festonate au pesto et légumes verts,Quitoque,a
Poulet korma,Quitoque,a
"Tajine de poulet aux légumes, olives et amandes",Quitoque,a
Aiguillettes de poulet,La Nouvelle Agriculture,a
Marmitako de thon blanc au piment d'espelette,Egoki,a
Ananas en tranche,Del Monte,a
Filet de poulet,La Nouvelle Agriculture,a
Lasagnes de polenta végétariennes,Les Petits Plats d'Arthur,a
Ananas cube,,a
Sojasun - Dessert au soja framboise cassis amande avoine,Sojasun,a
"Rillettes de thon, tomates, poivrons et olives bio",Bonne Nature,a
Quinoa noir,,a
Le Maïs,Bonduelle,a
Anneaux d'encornet,Lidl,a
Melon vert,,a
Filets de Maquereaux - Citron Bio,Connétable,a
Rôti de filet de porc,,a
Filet mignon de porc,,a
Quinoa royal - Pois-chiches & citron confit,Céréal Bio,a
Kidi fruit gourdes,"Kidi fruit,Andros",a
Polpa fine di pomodoro,Pomì,a
Compote sans sucre ajouté pomme avec morceau,"",a
Poireaux Des Flandres,,a
Filets de poulet,La Nouvelle Agriculture,a
Mijoté de légumes mexicains,Qilibri,a
Compote ss ajoutés mirabelle pomme,Andros,a
"Healthy Grain Reis , Multigrain",Healthy Grain,a
Ananas,Dole,a
Pasta di gragnano I.G.P,Afeltra,a
Straw propeller blueberry blitz gourmet oatmeal,Straw propeller,a
Farine de Blé Blanche T65,La Ferme des Bouviers,a
Farine de blé,,a
Farfalles complètes bio,Leader Price,a
Ananas extra sweet,,a
Ratatouille,mocitos,a
Galettes de riz de Camargue Multicéréales,Bongran,a
Ananas extra sweet,,a
Petit pois doux,Franprix,a
FRUIT &Cie POMME MANGUE PASSION,Carrefour,a
Œufs biologiques,Sans marque,a
Poulet & jardinière de légumes,William Saurin,a
Lait frais de montagne,Candia,a
Tagliatelle de soja edaname,Fibritti,a
Filet mignon de porc,L'Étal du Boucher,a
MATERNE Compotes Coupelles BIO Pomme 8x100g,"MATERNE, Bio",a
,"Bio Village, Marque Repère",a
Spaghetti de courgette,,a
Végéburger d'épinards et tofu,Vegetalia,a
POM'POTES Compotes Gourdes Pomme Framboise 4x90g,"materne,pom-potes",a
Pavés de saumon atlantique bio naturAmie,,a
POM'POTES Compotes Gourdes BIO Pomme Pêche Brugnon 4x90g,"Materne, POM'POTES, Bio",a
Morilles de printemps séchées cueillies à la main,"Auchan, Auchan Gourmet, Auchan Premium, Auchan Collection",a
Oeufs frais,Merci!,a
Aiguillettes de poulet,La Nouvelle Agriculture,a
Noix de Saint-Jacques sans corail,,a
dynachoc,"insunea pileje,Pileje",a
Les milanaises,Le Gaulois,a
Emincés de dinde,Maître Coq,a
Tantan green peas,,a
Filets de poulet,La Nouvelle Agriculture,a
Coeurs d'artichauts,,a
Aiguillettes de poulet,La Nouvelle Agriculture,a
Polenta Taragna,Leader Price,a
Compote,Freshona,a
CHARAL - 2 Bavettes d'Aloyau,Charal,a
Pommes Gala,,a
Pistaches coques grillées sans sel,Petit-prix,a
TAGLIOLINI,"Mémé Hélène, Pastificio Fantasia",a
Double Concentré de Tomates,Freshona,a
AVOINE DIVINE,Iswari,a
Petits pois très fins,,a
Compote abricot,Carrefour,a
Asperges blanches pelées,,a
Dos de cabillaud du Pacifique,Everyday,a
Simply Sesame,Ryvita,a
Dinde noire grande escalope,La Nouvelle Agriculture,a
Framboises surgelées,Crop's,a
Le flageolet cuit,Paysan Breton,a
Eau Minerale Naturelle,"",a
Escalope de dinde Le Gaulois,Le Gaulois,a
Lentils Rouge,Heera,a
Houmous citron confit,L’atelier Blini,a
Dinde noire fines escalopes,La Nouvelle Agriculture,a
petits pains grillés au blé complet,mannapain,a
Oeufs,Columbus,a
Krisprolls complets sans sucres ajoutés,Krisprolls,a
Escalopes de dinde marinées à la milanaise,Le Gaulois,a
Filet de Poulet,"",a
Spiruline,Spiruline solaire,a
Torsades aux petits pois,Leader Price,a
Risotto aux aubergines,,a
Lemon Curd Genuine Jersey Bio Yogurt,Jersey Dairy,a
Quinoa Nature Bio certifié AB Agriculture  Biologique,Nature Bio,a
Pavé aux graines,Jacquet,a
"Légumes vapeur, mélange de choux",Cora,a
Betterave rouges,Rochambeau,a
15 oeufs fermiers bio de,"Fermiers de Loué, LOUÉ",a
10 oeufs fermiers bio de loué + 2 offerts,"Fermiers de Loué, LOUÉ",a
Petit poids extra-fins et jeunes carottes,,a
Krisprolls complets sans sucres ajoutés,Krisprolls,a
Haricots rouges,Auchan,a
Pruneaux d'agen denoyautés,La Compagnie des Pruneaux,a
Mélange de légumes pret à cuisiner,,a
Couscous royal,,a
Queues de crevettes sauvages d'argentine,,a
Aiguillettes de poulet certifié,Maître Coq,a
Compotée de rhubarbes,Collines en Limousin,a
Aiguillettes de canard,Monoprix,a
Tendres carrés de blé à l'orientale,Céréal bio,a
Œufs,"Auchan, Auchan Bio",a
INSTANT  OATS,Ironmaxx,a
Fromage blanc 0%,Paysan Breton,a
Pain de mie Epeautre Pavot&Sarrasin,Harrys,a
L'œuf bio,"",a
Jus et infusion pomme/citron menthe,Cidou,a
Yaourt Bio Local,,a
Petits pois extra fins à l'étuvée,Franprix,a
La pasta artigianale,"Castelli, Pietro castelli",a
Lot pâtes Spaghetti x6,Barilla,a
Asperges blanches pelées entières,,a
Coeurs de filets de merlu blanc du Cap,Thiriet,a
Jambon de derrière,Denner,a
Mélange saveurs d'Orient,Brut de coques,a
Quinoa Real Bolivie,Ethiquable,a
Yaourt Nature,Franprix,a
Petits pois tres fins et carottes,Transgourmet,a
Mangue,"",a
Fruits pour smoothie,Picard,a
Veldsla,AH,a
Aiguillettes de poulet,La Nouvelle Agriculture,a
Pennoni 25,Granoro,a
Kompote,babylove,a
"Sukrin Fruchtaufstrich, 80% Frucht, Aprikose, 2 X",sukrin,a
Sachet vapeur légumes du potager,Picard,a
"VEGEtal Falafels Lentille corail, coco, curry",Carrefour,a
"Fromage frais nature Bio 3,2% matière grasse",Leader Price,a
Bonduelle veggissiMmmm,Bonduelle,a
Sachets vapeur légumes croquant,Picard,a
2 bavettes d'Aloyau,Charal,a
Cornichons hamburger rondelles bio,,a
Lait ecrémé UHT,"Monoprix,C'est qui le Patron?!",a
Tranches de dindes,Le Gaulois,a
Compote de pommes,Côteaux Nantais,a
Double Concentré de tomate,Petti,a
Fettuccini,Rana,a
Cacahuètes,AFRIQUE SAVEURS,a
Amaranth burger aux herbes,Allos,a
Pâtes aux truffes,Finest gourmet,a
Green Bio Sauerkraut Im Glas &#40;680 G&#41,greenorganics,a
Tonnarelli al peperoncino,Rustichella d'abruzzo,a
Penne rigate bio nature,Pâtes Fabre,a
Mixed Nuts,Tesco,a
Pilons de Poulet,La Nouvelle Agriculture,a
Fromage blanc des Limousins,LES FAYES,a
Mangue,,a
12 œufs frais plein air,Casino,a
Filet de poulet,"",a
Nature,Sojasun,a
Fraises d'alsace,,a
MAIS DOUX en grains,Monoprix Bio,a
Escargot de Bourgogne,Éric Bur,a
Nos 4 mini pots de Pomme-Poire de la vallee du Rhone,Les Sens du Terroir,a
Farandole de fruits,La fraîcherie,a
Skyr,Danone,a
Carottes râpées assaisonnée,,a
"Tunfisch Tonijn , In Eigenem Saft / In Water",Fishtales,a
